authors,title,series,tags,pubdate,publisher,isbn,identifiers
"Paul J. Achtemeier","Romans: Interpretation: A Bible Commentary for Teaching and Preaching","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle, Romans, Epsitle","1986-01-01T17:45:09+11:00","Westminster John Knox Press","9780804231374","amazon:0804231370,isbn:9780804231374,goodreads:1167285,uri:http://www.hxa7241.org/articles/content/epup-guide_hxa7241_2007_2.epub,google:fPg3ngEACAAJ"
"D. A. Carson","New Testament Commentary Survey","","Bible, New Testament (NT), New Testament commentary","1989-01-28T19:00:00+11:00","Baker Academic","9780801039904","amazon:0801039908,isbn:9780801039904,google:ZpTsLgEACAAJ,goodreads:15863583"
"David Aune","Revelation 6-16, Volume 52B","","New Testament (NT), Bible, New Testament commentary, Theology","2014-12-23T00:00:00+11:00","Zondervan","9780310521709","isbn:9780310521709,google:IJ_MrQEACAAJ"
"Gerald F. Hawthorne","Philippians, Volume 43: Revised Edition","Word Biblical Commentary","New Testament (NT), Bible, Theology, New Testament commentary","1976-01-01T19:00:00+11:00","Zondervan","9780310588320","goodreads:38325198,amazon:B073DKCHFD,isbn:9780310588320"
"Darrell L. Bock","Luke: 9:51-24:53","","Bible, New Testament (NT), New Testament commentary, Gospel","1994-04-16T07:15:22+11:00","Baker Publishing Group","9780801010521","google:sGclAQAAIAAJ,isbn:9780801010521"
"Mark Awabdy","Leviticus","","Old Testament (OT), Bible, Old Testament Commentary, New Testament (NT), Leviticus, Theology, New Testament commentary","2019-10-10T18:00:00+11:00","BRILL","9789004405523","isbn:9789004405523,goodreads:68312269,google:3JpQxQEACAAJ"
"Luke Timothy Johnson","The Letter of James","","Bible, New Testament (NT), Old Testament (OT), James, New Testament commentary, Paul, Epistle","1995-01-01T19:00:00+11:00","Doubleday","9780385516037","amazon:0385516037,google:Wf7BAAAACAAJ,isbn:9780385516037,goodreads:347196"
"Marvin A. Sweeney","Isaiah 1-39: An Introduction to Prophetic Literature","","Old Testament (OT), Bible, Old Testament Commentary, Isaiah","1996-01-30T19:00:00+11:00","Eerdmans","9780802841001","amazon:0802841007,isbn:9780802841001,goodreads:9937854,google:BdSzj9-SZv0C"
"Willem A. M. Beuken","Isaiah","","Reception History, Old Testament (OT), Bible, Old Testament Commentary, Isaiah","2000-06-15T14:52:41+11:00","Peeters","9789042908130","amazon:9042908130,google:bWXj8W2No9YC,isbn:9789042908130,goodreads:3834378"
"W. F. Albright","Matthew","","Bible, New Testament (NT), Gospel of Matthew, New Testament commentary, Gospel","1971-03-01T00:30:00+11:00","Doubleday & Co. (Garden City, NY)","9780385086585","amazon:038508658X,isbn:9780385086585,goodreads:1313920"
"John Nolland","Luke 1-9:20","","New Testament (NT), Bible, New Testament commentary, Theology","1993-05-12T18:00:00+11:00","Thomas Nelson Inc","9780849902543","isbn:9780849902543,amazon:0849902541,goodreads:2106624"
"John Nolland","Luke 18:35-24:53","","Bible, New Testament (NT), New Testament commentary, Theology","1993-08-30T01:00:00+11:00","Zondervan Academic","9780849910722","goodreads:2106625,isbn:9780849910722,amazon:0849910722"
"Jan Willem van Henten & Athalya Brenner","Bible Translation on the Threshold of the Twenty-First Century: Authority, Reception, Culture and Religion","","Old Testament (OT), Bible Translation, New Testament (NT), Theology, Bible","2009-11-02T11:00:00+11:00","Bloomsbury T&T Clark","9780567512796","google:aqpJPwAACAAJ,isbn:9780567512796,amazon:0567512797,goodreads:7800886"
"Porter, Stanley C.","Horizons in Hermeneutics","","Hermeneutics","2013-09-25T11:00:00+11:00","Wm. B. Eerdmans Publishing Company","9781467437240","isbn:9781467437240,mobi-asin:B00FRMIYM2,amazon:B00FJ4UPLQ,goodreads:74160458"
"Leung Lai, Barbara;Bartholomew, Craig G.;","Glimpsing the Mystery","","Bible, Old Testament (OT), Prophets, Daniel, Minor Prophets","2016-09-15T01:00:00+11:00","Bellingham, WA","9781577997740","amazon:1577997743,goodreads:31862003,isbn:9781577997740,google:rpxkvgAACAAJ"
"A. W. Tozer","And He Dwelt Among Us: Teachings from the Gospel of John","","Bible, Theology, Gospel of John, New Testament (NT)","2009-08-14T03:00:00+11:00","Baker Publishing Group","9781441267399","isbn:9781441267399,mobi-asin:B00LA9GE0U"
"Gordon D. Fee","1 & 2 Timothy, Titus","","Bible, New Testament (NT), New Testament commentary","1988-04-15T01:00:00+11:00","Peabody, MA","9780853646679","isbn:9780853646679"
"Donald A. Hagner","Hebrews","","Bible, New Testament (NT), New Testament commentary","1990-04-15T01:00:00+11:00","Peabody, MA","9780943575179","isbn:9780943575179"
"L. Ann Jervis","Galatians","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","1999-04-15T01:00:00+11:00","Peabody, MA","1565630076","isbn:1565630076"
"Osborne, Grant R.;","Galatians Verse by Verse","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2017-09-15T01:00:00+11:00","Bellingham, WA","9781683590361","google:ST8ZtAEACAAJ,amazon:1683590368,goodreads:35254163,isbn:9781683590361"
"Thomas F. Johnson","1, 2 & 3 John","","Bible, New Testament (NT), New Testament commentary, Gospel of John","1993-04-15T01:00:00+11:00","Peabody, MA","0943575753","isbn:0943575753"
"Osborne, Grant R.;","Ephesians Verse by Verse","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2017-09-15T01:00:00+11:00","Bellingham, WA","9781577997726","amazon:1577997727,goodreads:31862002,isbn:9781577997726,google:8mgvvgAACAAJ"
"Osborne, Grant R.;","Colossians & Philemon Verse by Verse","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2016-09-15T01:00:00+11:00","Bellingham, WA","9781577997368","isbn:9781577997368"
"W. Randolph Tate","Handbook for Biblical Interpretation: An Essential Guide to Methods, Terms, and Concepts","","Reference, Exegesis, Hermeneutics","2012-11-01T00:00:00+11:00","Baker Publishing Group","9781441240361","isbn:9781441240361,mobi-asin:B009G1PE9G"
"Bartholomew, Craig G.;","Excellent Preaching","","Christian Church, Christian Ministry, Preaching","2015-09-15T01:00:00+11:00","Bellingham, WA","9781577996507","google:bBwajgEACAAJ,isbn:9781577996507,goodreads:27177324,amazon:157799650X"
"Bradford A. Anderson","An Introduction to the Study of the Pentateuch","","Bible, Pentateuch, Septuagint (LXX), Old Testament (OT), Theology","2017-04-20T17:56:41+11:00","Bloomsbury Academic","9780567656384","isbn:9780567656384,google:M_laEAAAQBAJ"
"Robert H. Gundry","Commentary on John","","Bible, New Testament (NT), New Testament commentary, Gospel of John","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441237613","isbn:9781441237613"
"Robert H. Gundry","Commentary on Philippians","","Bible, New Testament commentary, New Testament (NT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441237682","isbn:9781441237682"
"Robert H. Gundry","Commentary on Hebrews","","Bible, New Testament commentary, New Testament (NT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441237729","isbn:9781441237729"
"Robert H. Gundry","Commentary on James","","Bible, New Testament commentary, New Testament (NT)","2011-11-01T00:00:00+11:00","Baker Publishing Group","9781441237736","isbn:9781441237736,mobi-asin:B0060M8ICO"
"Robert H. Gundry","Commentary on Ephesians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","2011-11-01T00:00:00+11:00","Baker Publishing Group","9781441237675","mobi-asin:B0060M8HHA,isbn:9781441237675"
"Robert H. Gundry","Commentary on Ephesians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441237675","isbn:9781441237675"
"Robert H. Gundry","Commentary on Revelation","","Bible, New Testament commentary, New Testament (NT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441237767","isbn:9781441237767"
"Elaine Phillips","Commentary on Exodus","","Bible, Old Testament Commentary, Old Testament (OT)","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424405","isbn:9781493424405"
"D. L. Petter","Commentary on Ruth","","Bible, Old Testament Commentary, Old Testament (OT)","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424467","isbn:9781493424467"
"Gary A. Long","Commentary on Job","","Bible, Old Testament Commentary, Old Testament (OT)","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424528","isbn:9781493424528"
"Barry C. Davis","Commentary on Psalms","","Bible, Old Testament Commentary, Old Testament (OT), Psalms, Wisdom Literature","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424535","isbn:9781493424535"
"Elmer A. Martens","Commentary on Jeremiah","","Bible, Old Testament Commentary, Old Testament (OT), Jeremiah","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424580","isbn:9781493424580"
"David W. Pao","Commentary on Acts","","Bible, New Testament commentary, New Testament (NT)","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424672","isbn:9781493424672"
"Douglas J. Moo","Commentary on James","","Bible, New Testament commentary, New Testament (NT)","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424771","isbn:9781493424771"
"William Baker & Ralph Martin & Carl N. Toney","1-2 Corinthians","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2009-07-20T11:00:00+11:00","Tyndale House Publishers, Inc.","9781414399218","isbn:9781414399218,goodreads:38506883,google:CsA7CwAAQBAJ"
"Douglas Harink","1 & 2 Peter","","Bible, New Testament (NT), New Testament commentary","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441208002","isbn:9781441208002"
"George T. Montague","First Corinthians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","2014-10-01T01:00:00+11:00","Baker Publishing Group","9781441232021","isbn:9781441232021"
"Francesca Aran Murphy","1 Samuel","","Bible, Old Testament (OT), Old Testament Commentary, Theology","2010-11-15T00:00:00+11:00","Brazos Press","9781441232946","google:487njobZ-xYC,goodreads:17919230,isbn:9781441232946"
"Telford Work","Deuteronomy","","Bible, Old Testament Commentary, Old Testament (OT), Deuteronomy, Pentateuch","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441235206","isbn:9781441235206"
"Peter J. Leithart","1 and 2 Kings","","Bible, Old Testament Commentary, Old Testament (OT)","2021-01-11T00:00:00+11:00","Baker Publishing Group","9781441235602","isbn:9781441235602"
"Craig G. Bartholomew","Ecclesiastes","","Bible, Old Testament Commentary, Old Testament (OT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","978-1-4412-0507-0","isbn:978-1-4412-0507-0"
"Jacob M. Myers","Ezra-Nehemiah","","Old Testament Commentary, Old Testament (OT), Bible","1965-08-17T19:00:00+11:00","Anchor Bible","9780385046954","amazon:0385046952,isbn:9780385046954,goodreads:5943442"
"John Goldingay","Genesis for Everyone, Part 2 Chapters 17-5","","Old Testament Commentary, Old Testament (OT), Bible, Genesis","2021-06-25T20:06:54+11:00","","9780281061259","google:1DzhQgAACAAJ,isbn:9780281061259"
"Gerhard von Rad","Genesis A Commentary","","Old Testament Commentary, Old Testament (OT), Bible, Genesis","2019-10-27T17:16:26+11:00","","9781611645958","isbn:9781611645958,amazon:B00S8QO3EC,google:drN1BwAAQBAJ,goodreads:25095407"
"Craig S. Keener","1 Peter","","Bible, New Testament (NT), New Testament commentary","2021-05-15T11:00:00+11:00","Baker Publishing Group","9781493429318","isbn:9781493429318"
"R. Alan Cole","Mark","","New Testament commentary, New Testament (NT), Bible, Gospel of Mark, Gospel","2008-07-07T03:00:00+11:00","InterVarsity Press","9781783593118","barnesnoble:w/mark-r-alan-cole/1000231448,mobi-asin:B00V8DX2C6,isbn:9781783593118"
"William J. Larkin","Ephesians: A Handbook on the Greek Text","","Bible, New Testament (NT), New Testament commentary, Theology, Paul, Epistle","2009-07-15T01:00:00+11:00","Baylor University Press","9781602580664","isbn:9781602580664,google:mdFbPgAACAAJ,amazon:1602580669"
"Mark Dubis","1 Peter: A Handbook on the Greek Text","","Bible, New Testament (NT), New Testament commentary, Theology","2010-07-15T01:00:00+11:00","Baylor University Press","9781932792621","isbn:9781932792621,google:FCsqAQAAMAAJ,amazon:1932792627"
"Duane A. Garrett","Amos: A Handbook on the Hebrew Text","","Bible, Old Testament (OT), Old Testament Commentary, Biblical Hebrew","2008-07-15T01:00:00+11:00","Baylor University Press","9781932792690","goodreads:3826983,isbn:9781932792690,google:-8_YAAAAMAAJ,amazon:1932792694"
"Barry L. Bandstra","Genesis 1-11: A Handbook on the Hebrew Text","","Bible, Old Testament (OT), Old Testament Commentary, Biblical Hebrew, Genesis","2008-07-15T01:00:00+11:00","Baylor University Press","9781932792706","goodreads:2641017,google:lcQgQ3svWwsC,isbn:9781932792706,amazon:1932792708"
"Mary Healy","Hebrews","","Bible, New Testament (NT), New Testament commentary","2016-07-06T01:00:00+11:00","Baker Publishing Group","9781493402014","isbn:9781493402014"
"George T. Montague","First and Second Timothy, Titus","","Bible, New Testament commentary, New Testament (NT)","2008-11-02T11:00:00+11:00","Baker Publishing Group","9781441201973","isbn:9781441201973"
"Daniel Keating","First and Second Peter, Jude","","Bible, New Testament commentary, New Testament (NT)","2018-06-25T01:00:00+11:00","Baker Publishing Group","9781441235640","isbn:9781441235640"
"Peter S. Williamson","Ephesians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","2021-12-03T11:00:00+11:00","Baker Publishing Group","9781441206718","isbn:9781441206718"
"John Goldingay","Hosea-Micah","","Bible, Old Testament Commentary, Old Testament (OT)","2020-12-07T11:00:00+11:00","Baker Publishing Group","9781493423576","isbn:9781493423576"
"Peter J. Leithart","1 & 2 Chronicles","","Bible, Old Testament Commentary, Old Testament (OT)","2019-06-17T11:00:00+11:00","Baker Publishing Group","9781493418381","isbn:9781493418381"
"Robert W. Jenson","Ezekiel","","Bible, Old Testament Commentary, Old Testament (OT)","2019-08-12T01:00:00+11:00","Baker Publishing Group","9781441235213","isbn:9781441235213"
"Douglas Farrow","1 & 2 Thessalonians","","Bible, New Testament commentary, New Testament (NT)","2020-06-12T11:00:00+11:00","Baker Publishing Group","9781493423514","isbn:9781493423514"
"G. K. Beale","Colossians and Philemon","","Bible, New Testament (NT), New Testament commentary, Paul, Epistle","2019-03-06T11:00:00+11:00","Baker Publishing Group","9781493416653","isbn:9781493416653"
"Michael Allen","Ephesians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781493427475","isbn:9781493427475"
"R. R. Reno","Genesis","","Bible, Old Testament Commentary, Old Testament (OT), Genesis","2010-08-20T01:00:00+11:00","Baker Publishing Group","9781441212610","isbn:9781441212610"
"Moyer V. Hubbard","2 Corinthians","","Bible, New Testament commentary, New Testament (NT), Paul, Epistle","2017-04-13T01:00:00+11:00","Baker Publishing Group","9781493406142","isbn:9781493406142"
"Victor P. Hamilton","Exodus","","Bible, Old Testament Commentary, Old Testament (OT)","2016-11-08T00:00:00+11:00","Baker Publishing Group","9781441240095","isbn:9781441240095"
"William B. Nelson","Daniel","","Bible, Old Testament Commentary, Old Testament (OT)","0101-01-01T11:00:00+11:00","Baker Publishing Group","9781441240064","isbn:9781441240064"
"Samuel Wells","Esther & Daniel","","Bible, Old Testament Commentary, Old Testament (OT)","2017-11-27T00:00:00+11:00","Baker Publishing Group","9781441241443","isbn:9781441241443"
"Craig S. Keener","Acts: An Exegetical Commentary: 15:1-23:35","Acts: An Exegetical Commentary","Bible, New Testament (NT), New Testament commentary, Theology","2014-10-07T00:00:00+11:00","Baker Academic","9780801048388","isbn:9780801048388,amazon:0801048362"
"Craig S. Keener","Acts: An Exegetical Commentary : Volume 2: 3:1-14:28","","Bible, New Testament (NT), New Testament commentary, Theology","2013-10-15T00:00:00+11:00","Baker Academic","9781441240392","google:oqTHAgAAQBAJ,amazon:B00LH5VMMC,goodreads:20791051,isbn:9781441240392"
"Gary M. Burge","The Baker Illustrated Bible Commentary","","Bible, New Testament (NT), New Testament commentary","2017-03-14T00:00:00+11:00","Baker Publishing Group","9781441223449","isbn:9781441223449"
"Victor P. Hamilton","Commentary on Genesis","","Bible, Old Testament Commentary, Old Testament (OT), Genesis","2019-10-24T00:00:00+11:00","Baker Publishing Group","9781493424399","isbn:9781493424399"
